file_name;transcription;audio;language;emotion
f_ans001aen; I don't know what's happening, I'm sorry.;data/wav_corpus/f_ans001aen.wav;english;fear
f_ans003aen;It's more like having a presentiment, do you know what I'm saying?;data/wav_corpus/f_ans003aen.wav;english;fear
f_ans004aen;Don't touch me, better if you don't.;data/wav_corpus/f_ans004aen.wav;english;fear
f_ans005aen;In Wellfleet, you were there, we were all there.;data/wav_corpus/f_ans005aen.wav;english;fear
f_ans007sen;Yes, but they were new arrivals. New women were arriving all the time. So the  ;data/wav_corpus/f_ans007sen.wav;english;fear
f_ans009ben;I got really scared.;data/wav_corpus/f_ans009ben.wav;english;fear
f_ans010aen;You're not doing this move just for me, are you? I mean ;data/wav_corpus/f_ans010aen.wav;english;fear
f_ans012aen;Please, talk to me, tell me what happened.;data/wav_corpus/f_ans012aen.wav;english;fear
f_ans019aen;I can't tell you. Someone might get hurt.;data/wav_corpus/f_ans019aen.wav;english;fear
f_ans021aen;It was once, it's not anymore.;data/wav_corpus/f_ans021aen.wav;english;fear
f_ans030aen;I'd been sleeping with him, and I was out on the back porch.;data/wav_corpus/f_ans030aen.wav;english;fear
f_ans032aen;You can't. There's kids.;data/wav_corpus/f_ans032aen.wav;english;fear
f_ans040aen;All his talk. So much trouble.;data/wav_corpus/f_ans040aen.wav;english;fear
f_ans041aen;He's been sleeping nights down in the Hooverville.;data/wav_corpus/f_ans041aen.wav;english;fear
f_ans041ben;My brother didn't have room for both him and us.;data/wav_corpus/f_ans041ben.wav;english;fear
f_ans042aen;Mike said, you know, if he had to stay down there anyway.;data/wav_corpus/f_ans042aen.wav;english;fear
f_ans042ben;He was gonna try to get everybody organized.;data/wav_corpus/f_ans042ben.wav;english;fear
f_ans043aen;Something's wrong Jim, I know it.;data/wav_corpus/f_ans043aen.wav;english;fear
f_ans044aen;Now I'm here and there's some trouble in Hooverville.;data/wav_corpus/f_ans044aen.wav;english;fear
f_ans044ben;He wouldn't leave me and the baby for this long.;data/wav_corpus/f_ans044ben.wav;english;fear
f_ans045aen;I didn't know who else to come to Jim.;data/wav_corpus/f_ans045aen.wav;english;fear
f_ans048aen;No, but I think that they saw me.;data/wav_corpus/f_ans048aen.wav;english;fear
f_ans049aen;It didn't mean anything to me at the time.;data/wav_corpus/f_ans049aen.wav;english;fear
f_ans050aen;But rather I didn't know what it meant.;data/wav_corpus/f_ans050aen.wav;english;fear
f_ans901aen;But it's impossible.;data/wav_corpus/f_ans901aen.wav;english;fear
f_ans901ben;Never allow such an aberration, believing in the dead.;data/wav_corpus/f_ans901ben.wav;english;fear
f_ans901cen;I will only meet you at the end of eternity.;data/wav_corpus/f_ans901cen.wav;english;fear
f_ans902aen;It wasn't her.;data/wav_corpus/f_ans902aen.wav;english;fear
f_ans902ben;It was the old woman.;data/wav_corpus/f_ans902ben.wav;english;fear
f_ans902cen;With strange eyes she was imitating my daughter's voice.;data/wav_corpus/f_ans902cen.wav;english;fear
f_ans902den;I'd swear to God that it wasn't my daughter.;data/wav_corpus/f_ans902den.wav;english;fear
f_ans902een;Oh God, God help me.;data/wav_corpus/f_ans902een.wav;english;fear
f_ans902fen;I don't know what's the matter with me.;data/wav_corpus/f_ans902fen.wav;english;fear
f_ans903aen;They know I'd never hurt them, I  ;data/wav_corpus/f_ans903aen.wav;english;fear
f_ans999aen;It's in the hands of some physician I have never even met.;data/wav_corpus/f_ans999aen.wav;english;fear
f_ans999ben;I mean, of course I'm worried about Ray.;data/wav_corpus/f_ans999ben.wav;english;fear
f_ans999cen;If anything, he's not good with this stuff. ;data/wav_corpus/f_ans999cen.wav;english;fear
f_dis008aen;Telling me that she's always complaining, that's not picking on her? I think so.;data/wav_corpus/f_dis008aen.wav;english;disgust
f_dis010aen;I'm saying, Vanessa, that even crazy people like to be asked.;data/wav_corpus/f_dis010aen.wav;english;disgust
f_dis016aen;Yeah, whoopee.;data/wav_corpus/f_dis016aen.wav;english;disgust
f_dis024aen;Sweetheart, I do love you, but sometimes I have to wonder if you really are my ;data/wav_corpus/f_dis024aen.wav;english;disgust
f_dis025aen;You've always been more like your father.;data/wav_corpus/f_dis025aen.wav;english;disgust
f_dis026aen;What is it exactly that you want?;data/wav_corpus/f_dis026aen.wav;english;disgust
f_dis027aen;You can give me the gun or give me back the money.;data/wav_corpus/f_dis027aen.wav;english;disgust
f_dis027ben;And I'm really hoping for the money.;data/wav_corpus/f_dis027ben.wav;english;disgust
f_dis028aen;Can I have them?;data/wav_corpus/f_dis028aen.wav;english;disgust
f_dis036aen;My father is from Puerto Rico. My mother is from El Salvador.;data/wav_corpus/f_dis036aen.wav;english;disgust
f_dis036ben;Neither one of those is Mexico.;data/wav_corpus/f_dis036ben.wav;english;disgust
f_dis037aen;I don't know. Isn't she sick?;data/wav_corpus/f_dis037aen.wav;english;disgust
f_dis038aen;I thought sick people sometimes make things up.;data/wav_corpus/f_dis038aen.wav;english;disgust
f_dis039aen;A woman you were treating killed her husband.;data/wav_corpus/f_dis039aen.wav;english;disgust
f_dis042aen;Why are you buying this land, Mr. Bloom?;data/wav_corpus/f_dis042aen.wav;english;disgust
f_dis043aen;Instead of buying a convertible, you buy a town?;data/wav_corpus/f_dis043aen.wav;english;disgust
f_dis108aen;That wasn't a question.;data/wav_corpus/f_dis108aen.wav;english;disgust
f_dis150aen;And you can do anything, right?;data/wav_corpus/f_dis150aen.wav;english;disgust
