file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans001ait;Non so che cosa mi succede scusami.;italian;negative; Non so che cosa mi succede, scusami.;negative;negative
f_ans002ait;Scusa è davvero scortese da parte mia.;italian;negative; Scusa, è davvero scortese da parte mia.;negative;negative
f_ans004ait;Non toccarmi Dio.;italian;negative; Non toccarmi, tio!;negative;negative
f_ans005ait;Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;italian;negative; Una mattina. Ah, o un flitto. C'era di tu. Era molto utile.;positive;positive
f_ans009ait;Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;italian;negative; Non lo so, io stavo incartando i bicchieri e qualche altra cosa e...;negative;negative
f_ans009bit;Ho avuto un’angoscia tremenda.;italian;negative; Ovo, nangosci, a tre mei.;negative;negative
f_ans010bit;Non è che hai fatto questo passo solo per me vero?;italian;negative; Non è che hai fatto questo passo solo per me, è vero?;negative;negative
f_ans012ait;Ti prego rispondimi, cosa è successo, dimmi.;italian;negative; Ti prego, rispondimi. Cosa è successo? Dimmelo.;negative;negative
f_ans018ait;Non stò mentendo, sono andata da lui per un aiuto.;italian;negative; Non sto mentendo, sono andata da lui per un aiuto.;positive;negative
f_ans019ait;Non te lo posso dire, qualcuno potrebbe farsi del male.;italian;negative; Non te lo posso dire, qualcuno potrebbe farsi del male.;negative;negative
f_ans040ait;Chiacchiera troppo e  si caccia nei guai.;italian;negative; chiacchierà troppo e si cacciano i guai.;negative;negative
f_ans041ait;La notte se ne andava a dormire a Hooverville.;italian;negative; La notte se ne andava a dormire a Overville;negative;negative
f_ans041bit;Mio fratello non ha posto per tutti e due.;italian;negative; Mio fratello non ha posto per tutti e due.;negative;negative
f_ans042ait;Mike ha detto che sai, se doveva stare là;italian;negative; E Mike ha detto che, sai, se doveva stare là...;negative;negative
f_ans042bit;Tanto valeva cercare di organizzare la gente.;italian;negative; Tanto valeva cercare di organizzare la gente.;positive;positive
f_ans043ait;È successo qualcosa Jim, me lo sento.;italian;negative; È successo qualcosa, Jim, me lo sento.;positive;positive
f_ans044ait;Ho saputo che ci sono stati dei disordini a Hooverville.;italian;negative; Ho saputo che ci sono stati dei disordini, Hooverfield.;positive;negative
f_ans045ait;Non sapevo da chi altro andare Jim.;italian;negative; Non sapevo da chi altro andareci;negative;negative
f_ans048ait;No, ma credo che abbiano visto me.;italian;negative; No, ma credo che abbiano visto me.;negative;negative
f_ans100ait;Aspetta, hai sentito?;italian;negative; Aspetta, ha sentito!;positive;negative
f_ans101ait;Non poteva arrivarci da sola ma è abbastanza alta.;italian;negative; Non poteva arriverci da sola, non è abbastanza alta.;negative;negative
f_ans102ait;Questo lo sa spiegare?;italian;negative; Questo ve lo sa spiegare!;positive;negative
f_ans103ait;Parlare col comandante.;italian;negative; Devo parlare col comandante.;negative;positive
f_ans104ait;È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;italian;negative; E' sufficiente che voi facciate sgombrare i corridoi così posso controllare.;negative;positive
f_ans105ait;Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;italian;negative; Non restano molti posti da controllare, basta fare evacuare l'aereo all'atterraggio.;negative;negative
f_ans106ait;Tesoro non é un buon motivo.;italian;negative; Tesoro, non è un buon motivo!;negative;negative
f_ans108ait;L'ho vista per caso passare di qui.;italian;negative; L'ha vista per caso passare di qui o...;negative;negative
f_ans109ait;L’havuta una brutta esperienza lei.;italian;negative; Ma potrò in un brutto esperienza, lei?;negative;negative
f_ans109bit;Non è in se in questo momento.;italian;negative; Non è in sé in questo momento.;negative;negative
f_ans111bit;Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;italian;negative; ha chiusa che aveva un sacco di cose mie importanti, documenti, altre cose che dovrei avere, perciò non lo faccio salire!;negative;negative
f_ans112ait;Allora ci stai con me a ucciderlo.;italian;negative; Allora ci stai con me a ucciderlo.;negative;negative
f_ans114ait;La prego abbia pietà di me. Ho una famiglia.;italian;negative; La prego, abbia piacere di me! Ho una famiglia!;positive;negative
f_ans115ait;Non capisco. Che vuol dire tenerlo in vita?;italian;negative; Non capisco che vuol dire tenerlo in vita.;negative;negative
f_ans117ait;Non diga sciocchezze morirebbe.;italian;negative; Non dica a questi ragazzi, morirebbe!;negative;negative
f_ans118ait;Quatto freddo.;italian;negative; Quanto fredda!;negative;negative
f_ans120ait;Io solo continuare a fare la nostra solita vita e dimenticare tuttto;italian;negative; Lo solo continuare a fare la nostra solita vita è dimenticare tutto.;negative;negative
f_ans121ait;Io l’ho già vista.;italian;negative; Io l'ho già vista.;positive;positive
f_ans122ait;Qui al centro commerciale, a casa nostra.;italian;negative; qui al centro commerciale, a casa nostra.;negative;negative
f_ans122bit;Ma chi!;italian;negative; Macchie!;positive;negative
f_ans125ait;Ma che cosa stai dicendo.;italian;negative; Ma che cosa stai dicendo, Leroy?;negative;negative
f_ans200ait;Non hanno detto niente, giusto?;italian;negative; Non hanno detto niente, giusto?;negative;negative
f_dis008ait;E perchè, dire che fregna sempre non è criticare? Io credo di sì.;italian;negative; Perché dire che Friña sempre non è criticare, io credo di sì.;negative;negative
f_dis009ait;Ma guarda che novità.;italian;negative; Ma guarda che novità!;positive;positive
f_dis010ait;Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;italian;negative; Voglio dire Vanessa che anche i pazzi gradirebbero essere invitati.;negative;negative
f_dis016ait;Sì un trionfo.;italian;negative; Sì, un triunfo!;positive;positive
f_dis017ait;Sei caduto e hai battuto la testa sul pavimento.;italian;negative; Se cadute, hai battuto la testa sul pavimento.;negative;negative
f_dis020ait;Qualcun’altro ha un'idea che io possa utilizzare?;italian;negative; Qualcun altro ha un'idea che io possa utilizzare?;negative;negative
f_dis024ait;Joid, tesoro caro, io ti voglio tanto bene.;italian;negative; Lloyd, tesoro caro, io ti voglio tanto bene.;positive;positive
f_dis024bit;Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;italian;negative; ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;negative;negative
f_dis025ait;Sei sempre stato più simile a tuo padre.;italian;negative; Sei sempre stato più simile a tuo padre.;negative;negative
f_dis026ait;Ti dispiacerebbe dirmi cosa vuoi esattamente?;italian;negative; Ti dispiacerebbe dirmi cosa vuoi esattamente?;negative;negative
f_dis027ait;Ora lei mi dà la pistola o mi ridà i miei soldi.;italian;negative; Ora lei mi dà la pistola o mi ridà i miei soldi.;negative;negative
f_dis027bit;E io preferirei di gran lunga i miei soldi.;italian;negative; e io preferirei di gran lunga i miei sciolti.;negative;negative
f_dis028ait;Me le da per favore?;italian;negative; Me le dà per favore?;negative;negative
f_dis029ait;Oh sì, ci avrebbero sparato in mezzo al boulievard.;italian;negative; Ah sì, ci avrebbero sparato in mezzo al boulevard!;negative;negative
f_dis036ait;Mio padre è del Puerto Rico, mia madre è del Salvador.;italian;negative; Mio padre è del Portorico, mia madre è del Salvador.;negative;negative
f_dis036bit;Né l'uno né l'altro è il Messico.;italian;negative; Nell'uno nell'altro è il Messico.;negative;negative
f_dis037ait;Non lo so. Non è malata?;italian;negative; Non lo so. Non è malata?;negative;negative
f_dis038ait;I malati a volte inventano le cose se non sbaglio.;italian;negative; malati a volte inventano le cose se non sbaglio.;negative;negative
f_dis039ait;Una donna che aveva in cura ha ucciso il marito.;italian;negative; Una donna che avevi in cura ha ucciso il marito.;negative;negative
f_dis048ait;Una benda per gli occhi.;italian;negative; Una benda per gli occhi.;positive;positive
f_dis106ait;Oh smettila mamma. Ti farai venire una emorragia nasale.;italian;negative; Smetti la mamma, ti farei venire un'emorragia a Nazar.;negative;negative
f_dis107ait;Me lo ricordi tutti i santi giorni.;italian;negative; me lo ricordi tutti i santi giorni.;positive;positive
f_dis108ait;Non era una domanda.;italian;negative; Non era una domanda?;negative;negative
f_dis109ait;Qualcuno ha una sigaretta?;italian;negative; Qualcuno ha una sigaretta?;negative;negative
f_dis150ait;E tu puoi fare qualsiasi cosa, giusto?;italian;negative; e tu puoi fare qualsiasi cosa, giusto?;positive;positive
f_dis189ait;Poteva anche salire il tuo amico gli facevo un caffé.;italian;negative; poteva anche salire il tuo amico e gli faceva un caffè?;negative;positive
f_dis190ait;Non sarà un novantotto ma sono ancora.;italian;negative; Non sarà un 98 ma sono ancora qui.;positive;positive
f_dis191ait;In Texas non lo bevono il caffè?;italian;negative; In Texas non lo bevono il caffè?;negative;negative
f_dis192ait;Larry, perché non te ne vai adesso.;italian;negative; Clark, perché non te ne vai adesso?;negative;negative
f_dis219ait;Certo che lo so.;italian;negative; Certo che lo so.;positive;positive
f_gio002ait;Sono guarita.;italian;positive; Sono guarita.;positive;positive
f_gio011bit;Congratulazioni!;italian;positive; Congratulazioni!;positive;positive
f_gio012ait;Bene, grazie Signor Burton.;italian;positive; Bene, grazie signora Bartonio.;positive;positive
f_gio014ait;Sai che sorpresa.;italian;positive; Sai che sorpresa!;positive;positive
f_gio019ait;Fantastica! È veramente grandiosa. Perfetto.;italian;positive; Fantastico! È veramente grandioso! Perfetto!;positive;positive
f_gio030ait;Sei proprio tu!;italian;positive; Sei proprio tu!;positive;positive
f_gio034ait;A volte, ma un po' più silenziosamente.;italian;positive; A volte, ma un po' più silenziosamente.;negative;negative
f_gio038ait;No, mi serve un lottatore con una laurea.;italian;positive; No, mi serve un lottatore con una laurea.;negative;negative
f_gio045ait;È meraviglioso.;italian;positive; È meraviglioso!;positive;positive
f_gio047ait;Al contrario.;italian;positive; Al contrario.;negative;negative
f_gio100ait;Nessuno mi fa ridelle come te.;italian;positive; Nessuno mi fa ridere come te!;negative;negative
f_gio101ait;Ciao papá.;italian;positive; Ciao, papà!;positive;positive
f_gio103ait;Ho ordinato le partecipazioni due settimane fa.;italian;positive; Ho ordinato le partecipazioni due settimane fa.;positive;positive
f_gio106ait;Forse dovresti solo, come dire.;italian;positive; Forse dovresti solo com'è dire?;negative;negative
f_gio108ait;Tu e mio figlio portate la stessa taglia.;italian;positive; Tu e mio figlio portate la stessa taglia!;negative;negative
f_gio109ait;Oh, mi scusi io … mi scusi.;italian;positive; No, mi scusi, mi scusi.;negative;negative
f_gio110ait;Ah mio dio Peter, siamo stati bambini in queste stanze.;italian;positive; Ah, mio Dio, Peter, siamo stati bambini in queste stanze!;positive;negative
f_gio111ait;È sempre stato il mio nome preferito.;italian;positive; Adesso è sempre stato il mio nome preferito!;positive;positive
f_gio112ait;E solo che … ;italian;positive; Eh solo che... beh!;positive;negative
f_gio113ait;Che splendida idea.;italian;positive; Di splendida idea!;positive;positive
f_gio115ait;Ah questa casa! È questa casa che mi prende.;italian;positive; Questa casa! È questa casa che mi prende!;positive;positive
f_gio115bit;Uno che lavora qui mi sembra un po' strano.;italian;positive; uno che lavora qui mi sembra un po' strano.;negative;negative
f_gio116ait;Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;italian;positive; Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;positive;positive
f_gio116bit;Di quei che parlavano in latino.;italian;positive; Dicco anche parole in latino.;negative;negative
f_gio117ait;Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;italian;positive; Non cominciare a vantarmi le meraviglie di quella squinzietta. Io ti odiavo allora.;negative;negative
f_gio120ait;Oh, credevo parlarsi del giudice.;italian;positive; Credevo parlassi del giudice.;negative;negative
f_gio122ait;Avevo ragione.;italian;positive; Avevo ragione!;positive;negative
f_gio123ait;Grazie tante.;italian;positive; Grazie tanto!;positive;positive
f_gio125ait;Avanti, calmati.;italian;positive; Avanti, Calmatica.;positive;positive
f_gio126ait;Sei splendente come un panno illustrato.;italian;positive; Sei splendente come un penne illustrato!;positive;positive
f_gio133ait;Credevo che fossi prestato ad un amore tempestoso.;italian;positive; Credevo che fossi presa da un amore tempestoso!;negative;negative
f_gio134ait;Mio Dio guarda, mi sono ricoperta.;italian;positive; Mio Dio, guarda mi sono ricoperta, ricoperta!;positive;negative
f_gio136ait;CioÈ, tutto qua.;italian;positive; tutto qua.;negative;negative
f_gio162bit;No!  Sí! ;italian;positive; no! sì!;positive;negative
f_gio189ait; bene.;italian;positive; Be';positive;positive
f_gio200ait;Stai arteggiando qualcosa.;italian;positive; Stai architettando qualcosa?;negative;negative
f_gio203ait;È un fochettone da cucina.;italian;positive; È un pochettone da cucina!;negative;negative
f_gio218ait;Che cosa hai detto.;italian;positive; Che cosa è questo?;negative;negative
f_gio219ait;Solo le bimbettine con i boccoli d'oro.;italian;positive; solo le bimbettine con il boccolino d'oro.;negative;negative
f_gio344ait;Buon compleanno!;italian;positive; Buon compleanno!;positive;positive
f_rab002ait;Bastardo!;italian;negative; BASTARDO!;negative;negative
f_rab008ait;Un dovere come questo Leonard non esiste.;italian;negative; Un dovere come questo, Leonard, non esiste.;negative;negative
f_rab009ait;Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;italian;negative; Sono dovunque si prendono cura di me e dei dottori che mi comunicano cosa è meglio nel mio interesse.;positive;positive
f_rab010ait;Io muoio se resto ancora qui.;italian;negative; Io muoio e sarò stancata qui!;negative;negative
f_rab010bit;Dite così. No! questa è la mia!;italian;negative; Ti dico di no, questa è la mia!;positive;positive
f_rab012ait;I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;italian;negative; I giornalisti inglesi stamattina si svegliano e pensano io lo so dove si trovano a scottare;negative;negative
f_rab012bit;È in quela casa col portone blue a Notting Hill.;italian;negative; E in quella casa col portone blu a nothing hill;negative;negative
f_rab012cit;E poi te ne vai fori con quelle maledette mutande.;italian;negative; E fai dove hai fori con quelle maledette mutande!;negative;negative
f_rab013bit;Santo Dio. Io ho un fidanzato.;italian;negative; Sant'Oghi, io io ho un fidanzato!;positive;positive
f_rab014ait;E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;italian;negative; E ora da domani ci saranno foto tue su tutti i giornali da qui a Timbuktu!;positive;positive
f_rab015ait;Certo, per te una situazione perfetta, vero?;italian;negative; Certo, per te è una situazione perfetta, vero?;positive;positive
f_rab015bit;Minimo imput massima pubblicità.;italian;negative; Minimo input, massima pubblicità!;negative;negative
f_rab015cit;Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;italian;negative; Dovunque andrai la gente dirà, oh, complimenti a te, sei andato a letto con quell'attrice.;positive;positive
f_rab015dit;Abbiamo visto le foto.;italian;negative; abbiamo visto le foto;positive;positive
f_rab037ait;Ti rendi conto ch’è la cosa più preziosa che possediamo.;italian;negative; Ti rendi conto che è la cosa più preziosa che possediamo?;positive;positive
f_rab042ait;Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;italian;negative; Io voglio saperlo adesso quando diavolo viene a casa! Adesso!;negative;negative
f_rab064ait;Non provare a toccarla.;italian;negative; Non provare a toccarla!;negative;negative
f_rab068bit;Corri qualche rischio. Fai qualche errore!;italian;negative; Corri qualche rischio, fai qualche errore!;negative;negative
f_rab070bit;Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;italian;negative; Per scoprire cosa è reale e cosa non lo è, per scoprire quello che tu provi!;positive;positive
f_rab082ait;Niente box fuori casa. Capito.;italian;negative; Niente box fuori casa, capito?;negative;positive
f_rab082bit;Niente box. Punto e basta.;italian;negative; Niente box punta basta!;negative;positive
f_rab083ait;Voi andate a scuola.;italian;negative; Voi andrete a scuola!;negative;negative
f_rab083bit;E andrete all'università e avrete una professione.;italian;negative; e andrete all'università e avrete una professione!;positive;positive
f_rab083cit;Perché non vi farete sfondare il craneo anche voi.;italian;negative; Perché non vi farete sfondare il crani anche voi!;negative;negative
f_rab084ait;Avete capito?;italian;negative; Avete capito?;negative;negative
f_rab084bit;Sono stata chiara?;italian;negative; Sono stata Chiara!;positive;negative
f_rab085bit;Fino ad ora.;italian;negative; fino ad ora.;negative;positive
f_rab087ait;Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;italian;negative; ma tirati fuori da quell'incontro! Rompiti un'altra volta la mano se necessario!;negative;negative
f_rab089cit;Benché avessi paura io non ho detto niente.;italian;negative; Benché avessi paura io non ho detto niente!;negative;negative
f_rab090ait;Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;italian;negative; E adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare;negative;negative
f_rab090bit;Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;italian;negative; Voglio vedere se questa volta ti comparti come se non te ne fregasse un cazzo!;positive;negative
f_rab094ait;Che non se ne sta lì a guardare mentre io vengo amonestata.;italian;negative; che non se ne sta lì a guardare mentre io vengo molestata!;negative;negative
f_rab098ait;Non ha proprio senso che stai qui a fare questo tutto il giorno.;italian;negative; Non ha proprio senso che stai qui a fare questo tutto il giorno!;negative;negative
f_rab099ait;Il caso è chiuso.;italian;negative; Il caso è chiuso!;negative;negative
f_rab100ait;I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;italian;negative; I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dela Prex.;negative;negative
f_tri001ait;È tutta colpa mia.;italian;negative; È stata colpa mia.;negative;negative
